pattern,original_bytes,tool,total_bytes,total_ratio_percent,payload_bits,payload_equivalent_bytes,payload_ratio_percent,metadata_bits,metadata_equivalent_bytes,roundtrip_verified,compressed_sha256,original_sha256,accounting_details
alternating-00-01,100000000,lz4,392549,0.392549,3139504,392438,0.392438,888,111,True,19d00e565ce9e946435e61d4c4b8b16d2364e2baa09858bf6a3d06a6fc1311bd,8d82a1375408852a91bc9045a9268d49e85c1124c01400a72aad1a5a4ac669cc,"{""block_checksum_bytes"": 0, ""block_count"": 24, ""block_size_headers_and_endmark_bytes"": 100, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 7, ""payload_definition"": ""sum of LZ4 Data Block fields""}"
alternating-00-01,100000000,zstd,9156,0.009156,54856,6857,0.006857,18392,2299,True,5756840b1267afaf787ba9c0a666636feaa8ec9798216da733a9edbbb561843a,8d82a1375408852a91bc9045a9268d49e85c1124c01400a72aad1a5a4ac669cc,"{""block_count"": 763, ""block_header_bytes"": 2289, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 6, ""payload_definition"": ""sum of stored Zstandard Block_Content fields""}"
alternating-00-01,200000000,gzip,194451,0.0972255,1555464,194433,0.0972165,144,18,True,9379fa83b1062ce4e991db1f905d995f6a30f62248bca19157deed7207eee7c6,7058df4ec64aaaa98ec40708689c78e6cfca1770effce2f5c37e38fffdc04808,"{""member_header_bytes"": 10, ""member_trailer_bytes"": 8, ""payload_definition"": ""raw DEFLATE stream""}"
alternating-00-01,200000000,xz,30056,0.015028,237848,29731,0.0148655,2600,325,True,87d4d480252d22fdc34bb3c51409321351506a17f9d69d56610e00bd0c51a218,7058df4ec64aaaa98ec40708689c78e6cfca1770effce2f5c37e38fffdc04808,"{""block_checks_bytes"": 64, ""block_count"": 8, ""block_header_bytes"": 160, ""block_padding_bytes"": 21, ""index_bytes"": 56, ""payload_definition"": ""XZ Compressed Data field(s), normally LZMA2"", ""stream_header_footer_bytes"": 24}"
alternating-00-01,200000000,bzip2,6676,0.003338,53292,6661.5,0.00333075,116,14.5,True,55b651c1e60e28744cf074bbac87c41ad281ec60bfde849ea00d45f54b68b2cd,7058df4ec64aaaa98ec40708689c78e6cfca1770effce2f5c37e38fffdc04808,"{""payload_definition"": ""compressed block stream between BZh header and EOS marker"", ""stream_header_bits"": 32, ""stream_trailer_and_padding_bits"": 84}"
alternating-00-01,200000000,lzma,28304,0.014152,226328,28291,0.0141455,104,13,True,30455ec572ef634981f17804682e54f9773779004b620a3a5b40ff56af41bed7,7058df4ec64aaaa98ec40708689c78e6cfca1770effce2f5c37e38fffdc04808,"{""header_bytes"": 13, ""payload_definition"": ""LZMA Compressed Data field""}"
alternating-00-01,200000000,lz4,785084,0.392542,6279016,784877,0.3924385,1656,207,True,4d7e856f231e5003bc48c9e482c52836c1a1f84e007dbd6c04ec89c7f2c197b8,7058df4ec64aaaa98ec40708689c78e6cfca1770effce2f5c37e38fffdc04808,"{""block_checksum_bytes"": 0, ""block_count"": 48, ""block_size_headers_and_endmark_bytes"": 196, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 7, ""payload_definition"": ""sum of LZ4 Data Block fields""}"
alternating-00-01,200000000,zstd,18300,0.00915,109696,13712,0.006856,36704,4588,True,0dad56d9a5113d42f17875d32e9655a54a73dc5cfc0fab9349db15a9b1b7debf,7058df4ec64aaaa98ec40708689c78e6cfca1770effce2f5c37e38fffdc04808,"{""block_count"": 1526, ""block_header_bytes"": 4578, ""content_checksum_bytes"": 4, ""frame_header_bytes"": 6, ""payload_definition"": ""sum of stored Zstandard Block_Content fields""}"
alternating-00-01,500000000,gzip,486081,0.0972162,3888504,486063,0.0972126,144,18,True,4d4cbe92303f050d2721977df555e904929b96584c9e4af8ee55fe8863619eff,de0ace36626ad954caed6c08de69f160ab4ca6e560847c227dce5b8550ca5133,"{""member_header_bytes"": 10, ""member_trailer_bytes"": 8, ""payload_definition"": ""raw DEFLATE stream""}"
alternating-00-01,500000000,xz,75104,0.0150208,594664,74333,0.0148666,6168,771,True,65b6e3770f2cf05a4e1f8280c4a1f7d81bad9362b6844b61d520aa7bd526fb72,de0ace36626ad954caed6c08de69f160ab4ca6e560847c227dce5b8550ca5133,"{""block_checks_bytes"": 160, ""block_count"": 20, ""block_header_bytes"": 400, ""block_padding_bytes"": 59, ""index_bytes"": 128, ""payload_definition"": ""XZ Compressed Data field(s), normally LZMA2"", ""stream_header_footer_bytes"": 24}"
